Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
Kepler-1016 b;Kepler-1016;Мир-Океан;7.64;2.18;4.06;1470;1.95;0.030;0.420;0.208;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1871 b;Kepler-1871;Мир-Океан;10.06;2.42;3.90;1403;1.95;0.031;0.343;0.208;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-230 b;K2-230;Мир-Океан;5.38;1.96;3.93;1529;2.86;0.041;0.438;0.209;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1217 b;Kepler-1217;Мир-Океан;6.01;1.99;4.20;1512;2.03;0.032;0.486;0.210;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-217 b;Kepler-217;Мир-Океан;6.62;2.23;3.29;1426;5.37;0.066;0.256;0.212;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
DMPP-1 d;DMPP-1;Мир-Океан;5.43;1.93;4.18;1479;3.14;0.045;0.493;0.217;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-205 b;TOI-205;Мир-Океан;6.73;2.17;3.63;1403;4.25;0.055;0.335;0.218;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-592 b;Kepler-592;Мир-Океан;10.44;2.39;4.21;1336;2.82;0.040;0.411;0.219;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-845 b;Kepler-845;Мир-Океан;5.78;2.04;3.75;1430;0.93;0.017;0.386;0.219;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-645 b;Kepler-645;Мир-Океан;7.58;2.10;4.51;1411;3.28;0.045;0.526;0.219;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1238 b;Kepler-1238;Мир-Океан;5.72;1.93;4.38;1459;4.15;0.055;0.534;0.220;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TIC 18942729 b;TIC 18942729;Мир-Океан;4.88;2.02;3.28;1430;1.00;0.017;0.295;0.220;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-645 Ab;Kepler-645 A;Мир-Океан;7.78;2.10;4.65;1400;3.28;0.045;0.554;0.221;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1745 b;Kepler-1745;Мир-Океан;4.54;1.93;3.49;1449;3.02;0.041;0.355;0.221;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-999 b;Kepler-999;Мир-Океан;7.94;2.34;3.41;1332;5.99;0.070;0.260;0.221;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-4443 b;TOI-4443;Мир-Океан;3.99;1.70;4.45;1506;1.85;0.030;0.597;0.224;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1935 Ab;Kepler-1935 A;Мир-Океан;8.63;2.50;3.04;1269;3.95;0.049;0.158;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-44 b;K2-44;Мир-Океан;9.68;2.43;3.70;1284;5.66;0.065;0.302;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-872 b;Kepler-872;Мир-Океан;6.66;1.99;4.65;1398;2.58;0.037;0.576;0.226;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1002 Ab;Kepler-1002 A;Мир-Океан;4.33;1.75;4.45;1471;4.34;0.056;0.587;0.226;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-6281 b;TOI-6281;Мир-Океан;4.55;1.92;3.54;1409;1.05;0.018;0.368;0.227;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1061 b;Kepler-1061;Мир-Океан;5.37;1.98;3.81;1390;2.76;0.040;0.410;0.227;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-172 b;Kepler-172;Мир-Океан;7.33;2.35;3.11;1268;2.94;0.040;0.199;0.231;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-680 b;Kepler-680;Мир-Океан;8.46;2.42;3.29;1249;3.69;0.048;0.221;0.231;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-578 b;Kepler-578;Мир-Океан;6.39;2.00;4.40;1336;1.62;0.026;0.523;0.235;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TIC 51629874 b;TIC 51629874;Мир-Океан;7.33;2.34;3.16;1239;6.47;0.071;0.210;0.236;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1346 b;TOI-1346;Мир-Океан;8.88;2.39;3.58;1214;1.76;0.027;0.285;0.238;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-140 b;Kepler-140;Мир-Океан;3.50;1.61;4.62;1432;3.25;0.045;0.652;0.239;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-61 b;K2-61;Мир-Океан;4.80;1.92;3.74;1325;2.57;0.036;0.407;0.240;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TIC 356227008 b;TIC 356227008;Мир-Океан;8.08;2.39;3.26;1200;2.96;0.041;0.221;0.241;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-269 b;K2-269;Мир-Океан;3.00;1.57;4.28;1431;4.14;0.053;0.594;0.241;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1827 b;Kepler-1827;Мир-Океан;4.48;1.86;3.86;1329;3.70;0.045;0.444;0.243;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-128.01;TOI-128;Мир-Океан;6.18;2.22;3.12;1230;4.94;0.054;0.224;0.243;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-683 b;Kepler-683;Мир-Океан;4.54;1.97;3.27;1293;2.54;0.036;0.303;0.243;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1153 b;Kepler-1153;Мир-Океан;4.38;1.73;4.66;1362;1.76;0.028;0.633;0.244;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-291 b;Kepler-291;Мир-Океан;6.84;2.16;3.74;1237;3.55;0.047;0.360;0.244;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1003 b;Kepler-1003;Мир-Океан;4.33;1.78;4.23;1341;3.55;0.047;0.537;0.244;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1416 b;TOI-1416;Мир-Океан;3.48;1.62;4.51;1392;1.07;0.019;0.628;0.245;Оригинал;Оригинал
Kepler-996 b;Kepler-996;Мир-Океан;5.61;1.98;3.98;1282;3.77;0.049;0.444;0.245;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-166 d;Kepler-166;Мир-Океан;4.41;1.73;4.69;1355;1.55;0.025;0.639;0.245;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1250 b;Kepler-1250;Мир-Океан;4.58;1.92;3.57;1298;2.61;0.037;0.373;0.245;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-451 b;TOI-451;Мир-Океан;4.70;1.84;4.16;1313;1.86;0.029;0.508;0.246;Оригинал;Оригинал
Kepler-1856 b;Kepler-1856;Мир-Океан;4.21;1.73;4.45;1344;1.30;0.021;0.590;0.246;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-238 c;Kepler-238;Мир-Океан;8.52;2.39;3.44;1170;6.16;0.067;0.256;0.246;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-514 Ab;Kepler-514 A;Мир-Океан;6.23;2.03;4.11;1258;5.65;0.067;0.458;0.247;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-755 b;Kepler-755;Мир-Океан;4.73;1.76;4.78;1331;1.27;0.021;0.650;0.247;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HAT-P-2 b;HAT-P-2;Мир-Океан;4.45;1.95;3.30;1270;5.63;0.068;0.314;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-109 Ab;Kepler-109 A;Мир-Океан;7.30;2.37;3.04;1166;6.48;0.070;0.181;0.248;Оригинал;Оригинал
HD 125612 c;HD 125612;Мир-Океан;7.41;2.16;4.07;1215;4.15;0.051;0.427;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-68 b;Kepler-68;Мир-Океан;8.03;2.36;3.38;1167;5.40;0.061;0.251;0.248;Оригинал;Оригинал
Kepler-148 b;Kepler-148;Мир-Океан;4.08;1.80;3.86;1306;1.73;0.027;0.457;0.249;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
DMPP-7 b;DMPP-7;Мир-Океан;7.40;2.30;3.33;1171;4.98;0.059;0.251;0.250;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-666 b;Kepler-666;Мир-Океан;7.70;2.40;3.07;1146;4.50;0.054;0.180;0.251;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-213 c;Kepler-213;Мир-Океан;7.06;2.34;3.04;1156;4.82;0.056;0.185;0.251;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-822 b;Kepler-822;Мир-Океан;4.66;1.77;4.63;1302;3.22;0.044;0.619;0.252;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 12235 b;HD 12235;Мир-Океан;5.87;2.01;4.01;1235;4.36;0.054;0.443;0.252;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 158259 c;HD 158259;Мир-Океан;3.48;1.61;4.63;1352;3.43;0.046;0.656;0.252;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 86226 c;HD 86226;Мир-Океан;7.25;2.16;3.96;1192;3.98;0.049;0.404;0.252;Оригинал;Оригинал
Kepler-122 b;Kepler-122;Мир-Океан;8.40;2.34;3.61;1145;5.77;0.066;0.300;0.253;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1466 b;TOI-1466;Мир-Океан;9.48;2.41;3.74;1128;1.87;0.026;0.315;0.254;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-998 b;Kepler-998;Мир-Океан;6.96;2.32;3.07;1142;5.65;0.065;0.196;0.255;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-256 d;Kepler-256;Мир-Океан;9.59;2.48;3.47;1104;5.84;0.064;0.246;0.255;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1154 c;Kepler-1154;Мир-Океан;8.93;2.36;3.74;1126;8.46;0.088;0.323;0.256;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-111 b;Kepler-111;Мир-Океан;3.02;1.58;4.22;1333;3.34;0.045;0.579;0.256;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 125612 Ac;HD 125612 A;Мир-Океан;7.60;2.08;4.64;1188;4.15;0.052;0.555;0.257;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-203 c;Kepler-203;Мир-Океан;9.30;2.47;3.40;1098;5.37;0.061;0.235;0.257;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-167 b;K2-167;Мир-Океан;7.35;2.37;3.06;1116;9.98;0.093;0.185;0.258;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-397 b;K2-397;Мир-Океан;8.74;2.42;3.41;1103;3.57;0.045;0.246;0.258;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-398 b;K2-398;Мир-Океан;7.33;2.27;3.44;1134;6.39;0.066;0.277;0.258;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1226 b;TOI-1226;Мир-Океан;6.96;2.33;3.03;1120;3.93;0.049;0.185;0.259;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1403 b;Kepler-1403;Мир-Океан;5.83;2.14;3.28;1162;5.19;0.061;0.271;0.259;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1985 b;Kepler-1985;Мир-Океан;7.24;2.27;3.41;1128;3.42;0.043;0.273;0.260;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-5160 b;TOI-5160;Мир-Океан;7.11;2.23;3.53;1134;4.28;0.052;0.305;0.260;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-202 Ab;K2-202 A;Мир-Океан;8.54;2.30;3.88;1118;3.41;0.044;0.361;0.261;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1342 b;Kepler-1342;Мир-Океан;3.83;1.66;4.61;1283;2.22;0.032;0.639;0.261;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 213885 Ac;HD 213885 A;Мир-Океан;7.93;2.13;4.52;1153;4.79;0.057;0.521;0.261;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-166 b;K2-166;Мир-Океан;7.79;2.19;4.08;1138;8.53;0.086;0.423;0.261;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1473 Ab;TOI-1473 A;Мир-Океан;10.81;2.45;4.05;1074;5.25;0.061;0.367;0.263;Оригинал;Оригинал
K2-202 b;K2-202;Мир-Океан;8.53;2.30;3.85;1103;3.41;0.044;0.356;0.263;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-814 b;Kepler-814;Мир-Океан;8.04;2.12;4.65;1144;6.15;0.069;0.549;0.264;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-18 b;Kepler-18;Мир-Океан;6.90;2.00;4.75;1173;3.50;0.045;0.594;0.264;Оригинал;Оригинал
HD 6061 b;HD 6061;Мир-Океан;10.00;2.43;3.85;1075;5.25;0.060;0.332;0.264;Оригинал;Оригинал
DMPP-1 e;DMPP-1;Мир-Океан;4.57;1.88;3.78;1202;5.52;0.065;0.423;0.264;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
